ID,Title,Description,Acceptance,Test_Method,Tools,Dev_Status,Review1_Status,Regression_Status,Files,Dependencies,Notes
A1,Shared animation and canvas foundation,"Create responsive DPR-safe canvas sizing|visibility-aware animation|theme color reading|coordinate conversion utilities","Canvas remains sharp from 320px through desktop|DPR is capped|animation pauses offscreen and while hidden","npm run build",none,DONE,DONE,DONE,"src/components/exhibits/shared/*",none,"Phase 1"
A2,Shared exhibit shell and persistence,"Create museum exhibit frame|accessible HUD|versioned local progress|optional muted Web Audio controls|status announcements","Reusable shell exposes semantic controls and safe persistence|sound starts only after opt-in","npm run build",none,DONE,DONE,DONE,"src/components/exhibits/shared/*",A1,"Phase 1"
B1,Lumen optical model and plates,"Define ray/object model and five curated optical plates with progressive lenses|mirrors|filters|apertures|prisms","All five plates load with valid object and target data|mechanics progress without impossible initial states","npm run test:lumen",none,DONE,DONE,DONE,"src/components/exhibits/lumen/model.ts | src/components/exhibits/lumen/levels.ts | tests/lumen.spec.ts",A1,"Phase 2"
B2,Lumen renderer and manipulation,"Implement layered instrument rendering|ray tracing visuals|selection|drag|rotate|keyboard manipulation|undo and reset","Optical paths update continuously|all manipulable objects work with pointer and keyboard|effects stay bounded","npm run build",none,DONE,DONE,DONE,"src/components/exhibits/lumen/LumenCanvas.tsx | src/components/exhibits/lumen/render.ts",B1,"Phase 2"
B3,Lumen progression and exhibit UI,"Implement onboarding|plate selector|hints|completion art|scoring|saved progress and replay","Player can complete five plates in sequence|reload restores progress|each state has clear controls and feedback","npm run test:e2e -- --grep lumen",playwright-cli,DONE,DONE,DONE,"src/components/exhibits/lumen/LumenGame.tsx | tests/e2e/exhibits.spec.ts",A2|B2,"Phase 2"
C1,Palimpsest restoration model and works,"Define fragments|depth planes|registration clues|raking-light rules|scoring and four curated works","All four works load with valid fragment geometry and solvable target transforms","npm run test:palimpsest",none,DONE,DONE,DONE,"src/components/exhibits/palimpsest/model.ts | src/components/exhibits/palimpsest/works.ts | tests/palimpsest.spec.ts",A1,"Phase 3"
C2,Palimpsest renderer and manipulation,"Implement vellum/material rendering|fragment hit testing|drag|rotate|depth ordering|raking light|keyboard manipulation","Fragments remain selectable and manipulable at all breakpoints|inspection light reveals useful clues|completed composition animates","npm run build",none,DONE,DONE,DONE,"src/components/exhibits/palimpsest/PalimpsestCanvas.tsx | src/components/exhibits/palimpsest/render.ts",C1,"Phase 3"
C3,Palimpsest progression and exhibit UI,"Implement onboarding|work selector|hints|accuracy scoring|completion animation|saved progress and replay","Player can restore four works in sequence|reload restores progress|feedback communicates position|rotation and depth accuracy","npm run test:e2e -- --grep palimpsest",playwright-cli,DONE,DONE,DONE,"src/components/exhibits/palimpsest/PalimpsestGame.tsx | tests/e2e/exhibits.spec.ts",A2|C2,"Phase 3"
D1,Museum bento integration,"Replace old arcade sections and navigation with Lumen and Palimpsest bento exhibits|new labels|copy|metadata cards and responsive ordering","No Orbital or Courier UI remains|navigation reaches both new exhibits|composition matches existing museum system","npm run test:e2e -- --grep navigation",playwright-cli,DONE,DONE,DONE,"src/App.tsx | src/components/Navbar.tsx | src/components/exhibits/*Section.tsx",B3|C3,"Phase 4"
D2,Responsive theme motion and input polish,"Tune layouts from 320px to desktop|light/dark tokens|reduced motion|focus|touch targets|offscreen behavior","No overflow or clipped controls|both themes are intentional|reduced motion removes nonessential movement|touch targets are usable","npm run test:e2e -- --grep responsive",playwright-cli,DONE,DONE,DONE,"src/index.css | src/styles/tokens.css | src/components/exhibits/**/*",D1,"Phase 4"
E1,Automated acceptance harness,"Add Playwright configuration and stable tests for navigation|core controls|persistence|theme|reduced motion and representative level completion hooks","Test suite runs locally and covers both exhibits without timing-dependent canvas assertions","npm run test:e2e",playwright-cli,DONE,DONE,DONE,"playwright.config.ts | tests/e2e/exhibits.spec.ts | package.json",D2,"Phase 5"
E2,Final visual and regression pass,"Run build|tests|desktop/tablet/mobile screenshots|console review|long-session smoke and issue CSV regression updates","All checks pass|screenshots show cohesive museum composition|no console errors|all Issue CSV statuses are DONE","npm run build && npm test && npm run test:e2e",playwright-cli,DONE,DONE,DONE,"issues/2026-07-09_15-26-30-museum-game-exhibits.csv | .playwright-cli/*",E1,"Phase 5"
